city	country	lat	lon	PM25
Zabol	Iran	31.032368	61.490248	217
Gwalior	India	26.218287	78.182831	176
Allahabad	India	25.435801	81.846311	170
Riyadh	Saudi Arabia	24.713552	46.675296	156
Al Jubail	Saudi Arabia	26.959771	49.568742	152
Patna	India	25.594095	85.137565	149
Raipur	India	21.251384	81.629641	144
Bamenda	Cameroon	5.963051	10.159121	132
Xingtai	China	37.070589	114.504844	128
Baoding	China	38.874434	115.46459	126
Delhi	India	28.613939	77.209021	122
Ludhiana	India	30.900965	75.857276	122
Dammam	Saudi Arabia	26.392667	49.977714	121
Shijiazhuang	China	38.042307	114.51486	121
Kanpur	India	26.449923	80.331874	115
Khanna	India	30.697852	76.211229	114
Firozabad	India	27.159101	78.395757	113
Lucknow	India	26.846694	80.946166	113
Handan	China	36.625657	114.538962	112
Peshawar	Pakistan	34.014975	71.58049	111
Amritsar	India	31.633979	74.872264	108
Gobindgarh	India	30.858747	75.943421	108
Rawalpindi	Pakistan	33.598394	73.044135	107
Hengshui	China	37.73892	115.670177	107
Narayangonj	Bangladesh	23.62264	90.499797	106
Boshehr	Iran	28.978025	50.837992	105
Agra	India	27.17667	78.008075	105
Kampala	Uganda	0.347596	32.58252	104
Tangshan	China	39.630867	118.180194	102
Jodhpur	India	26.238947	73.024309	101
Dehradun	India	30.316495	78.032192	100
Ahmedabad	India	23.022505	72.571362	100
Jaipur	India	26.912434	75.787271	100
Howrah	India	22.595769	88.263639	100
Faridabad	India	28.408912	77.317789	98
Yenbu	Saudi Arabia	24.023176	38.189978	97
Langfang	China	39.538047	116.683752	96
Dhanbad	India	23.795653	86.430386	95
Chittagong	Bangladesh	22.347537	91.812332	95
Ahvaz	Iran	31.318327	48.670619	95
Doha	Qatar	25.285447	51.53104	93
Bhopal	India	23.259933	77.412615	93
Khurja	India	28.251354	77.85388	90
Dhaka	Bangladesh	23.810332	90.412518	90
Kaduna	Nigeria	10.510464	7.416505	90
Gazipur	Bangladesh	23.991734	90.419588	89
Karachi	Pakistan	24.861462	67.009939	88
Cangzhou	China	38.304477	116.838835	88
Baghdad	Iraq	33.312806	44.361488	88
Al-Shuwaikh	Kuwait	29.352382	47.950359	88
Tianjin	China	39.084158	117.200983	87
Raebareli	India	26.23453	81.240869	87
Kabul	Afghanistan	34.555349	69.207486	86
Zhengzhou	China	34.746611	113.625328	86
Barisal	Bangladesh	22.702921	90.346597	85
Beijing	China	39.904211	116.407395	85
Al Wakrah	Qatar	25.165931	51.597552	85
Kota	India	25.213816	75.864753	84
Udaipur	India	24.585445	73.712479	83
TETOVO	The former Yugoslav Republic of Macedonia	42.006912	20.971527	81
Alwar	India	27.552991	76.634573	81
Wuhan	China	30.593099	114.305393	80
Chandrapur	India	19.97046	79.301485	79
Anyang	China	36.097577	114.392393	79
Hefei	China	31.820592	117.227219	79
Pyin Oo Lwin	Myanmar	22.039177	96.471658	78
Shouguang	China	36.85576	118.79074	78
Indore	India	22.719569	75.857726	76
Taungoo	Myanmar	18.939835	96.434362	76
Greater Cairo	Egypt	30.04442	31.235712	76
Kyaukphyu	Myanmar	19.421203	93.545849	76
Jalandhar	India	31.326015	75.576183	75
Ulaanbaatar	Mongolia	47.886399	106.905744	75
Akola	India	20.705935	77.021902	74
Makkah	Saudi Arabia	21.389082	39.857912	74
Jingzhou	China	30.335165	112.239741	74
Ali Subah Al-Salem	Kuwait	28.957047	48.154826	74
Varanasi	India	25.317645	82.973914	74
Changsha	China	28.228209	112.938814	74
Noida	India	28.535516	77.391026	73
Nanjing	China	32.060255	118.796877	72
Shenyang	China	41.805699	123.431472	72
Chengdu	China	30.572816	104.066801	71
Harbin	China	45.803775	126.534967	71
Namkham	Myanmar	23.830423	97.684657	71
Delta region	Egypt	#N/A	#N/A	71
Kaifeng	China	34.797281	114.307583	70
Yichang	China	30.691967	111.286471	70
Yangquan	China	37.856972	113.580519	70
Pingdingshan	China	33.76617	113.192661	70
Xiangtan	China	27.829738	112.944049	70
Jalgaon	India	21.007658	75.562604	70
Xi'an	China	34.341575	108.93977	70
Zhuzhou	China	27.827987	113.133853	69
Meerut	India	28.984462	77.706414	69
Mawlamyaing	Myanmar	16.454317	97.643961	69
Laiwu	China	36.213814	117.676724	68
Al-Mansouriya	Kuwait	29.357338	47.994836	68
Jiaozuo	China	35.215893	113.241823	68
Jeddah	Saudi Arabia	21.285407	39.237551	68
Mazar-e Sharif	Afghanistan	36.692617	67.117951	68
